#        Freq [GHz]               zRe []               zIm []
2.4000e+01      4.6362e+02      -3.7084e-02
2.4010e+01      4.6352e+02      -3.6833e-02
2.4020e+01      4.6342e+02      -3.6567e-02
2.4030e+01      4.6331e+02      -3.6358e-02
2.4040e+01      4.6321e+02      -3.6117e-02
2.4050e+01      4.6311e+02      -3.5898e-02
2.4060e+01      4.6301e+02      -3.5696e-02
2.4070e+01      4.6291e+02      -3.5527e-02
2.4080e+01      4.6281e+02      -3.5368e-02
2.4090e+01      4.6271e+02      -3.5134e-02
2.4100e+01      4.6261e+02      -3.4984e-02
2.4110e+01      4.6251e+02      -3.4819e-02
2.4120e+01      4.6241e+02      -3.4661e-02
2.4130e+01      4.6231e+02      -3.4464e-02
2.4140e+01      4.6221e+02      -3.4352e-02
2.4150e+01      4.6211e+02      -3.4219e-02
2.4160e+01      4.6201e+02      -3.4070e-02
2.4170e+01      4.6191e+02      -3.3960e-02
2.4180e+01      4.6181e+02      -3.3858e-02
2.4190e+01      4.6171e+02      -3.3746e-02
2.4200e+01      4.6162e+02      -3.3613e-02
2.4210e+01      4.6152e+02      -3.3520e-02
2.4220e+01      4.6142e+02      -3.3454e-02
2.4230e+01      4.6132e+02      -3.3415e-02
2.4240e+01      4.6123e+02      -3.3269e-02
2.4250e+01      4.6113e+02      -3.3227e-02
2.4260e+01      4.6103e+02      -3.3174e-02
2.4270e+01      4.6093e+02      -3.3138e-02
2.4280e+01      4.6084e+02      -3.3062e-02
2.4290e+01      4.6074e+02      -3.3040e-02
2.4300e+01      4.6064e+02      -3.2956e-02
2.4310e+01      4.6055e+02      -3.2955e-02
2.4320e+01      4.6045e+02      -3.2929e-02
2.4330e+01      4.6035e+02      -3.2878e-02
2.4340e+01      4.6026e+02      -3.2872e-02
2.4350e+01      4.6016e+02      -3.2868e-02
2.4360e+01      4.6007e+02      -3.2880e-02
2.4370e+01      4.5997e+02      -3.2865e-02
2.4380e+01      4.5988e+02      -3.2836e-02
2.4390e+01      4.5978e+02      -3.2882e-02
2.4400e+01      4.5969e+02      -3.2903e-02
2.4410e+01      4.5959e+02      -3.2955e-02
2.4420e+01      4.5950e+02      -3.2987e-02
2.4430e+01      4.5940e+02      -3.2996e-02
2.4440e+01      4.5931e+02      -3.3049e-02
2.4450e+01      4.5921e+02      -3.3075e-02
2.4460e+01      4.5912e+02      -3.3136e-02
2.4470e+01      4.5903e+02      -3.3193e-02
2.4480e+01      4.5893e+02      -3.3256e-02
2.4490e+01      4.5884e+02      -3.3398e-02
2.4500e+01      4.5875e+02      -3.3432e-02
2.4510e+01      4.5865e+02      -3.3498e-02
2.4520e+01      4.5856e+02      -3.3615e-02
2.4530e+01      4.5847e+02      -3.3689e-02
2.4540e+01      4.5838e+02      -3.3833e-02
2.4550e+01      4.5828e+02      -3.3861e-02
2.4560e+01      4.5819e+02      -3.4050e-02
2.4570e+01      4.5810e+02      -3.4117e-02
2.4580e+01      4.5801e+02      -3.4272e-02
2.4590e+01      4.5792e+02      -3.4409e-02
2.4600e+01      4.5782e+02      -3.4538e-02
2.4610e+01      4.5773e+02      -3.4643e-02
2.4620e+01      4.5764e+02      -3.4834e-02
2.4630e+01      4.5755e+02      -3.5009e-02
2.4640e+01      4.5746e+02      -3.5154e-02
2.4650e+01      4.5737e+02      -3.5326e-02
2.4660e+01      4.5728e+02      -3.5438e-02
2.4670e+01      4.5719e+02      -3.5644e-02
2.4680e+01      4.5710e+02      -3.5851e-02
2.4690e+01      4.5701e+02      -3.6003e-02
2.4700e+01      4.5692e+02      -3.6259e-02
2.4710e+01      4.5683e+02      -3.6484e-02
2.4720e+01      4.5674e+02      -3.6660e-02
2.4730e+01      4.5665e+02      -3.6893e-02
2.4740e+01      4.5656e+02      -3.7167e-02
2.4750e+01      4.5647e+02      -3.7392e-02
2.4760e+01      4.5638e+02      -3.7613e-02
2.4770e+01      4.5629e+02      -3.7862e-02
2.4780e+01      4.5620e+02      -3.8103e-02
2.4790e+01      4.5611e+02      -3.8393e-02
2.4800e+01      4.5603e+02      -3.8663e-02
2.4810e+01      4.5594e+02      -3.8907e-02
2.4820e+01      4.5585e+02      -3.9228e-02
2.4830e+01      4.5576e+02      -3.9540e-02
2.4840e+01      4.5567e+02      -3.9844e-02
2.4850e+01      4.5559e+02      -4.0167e-02
2.4860e+01      4.5550e+02      -4.0435e-02
2.4870e+01      4.5541e+02      -4.0786e-02
2.4880e+01      4.5532e+02      -4.1142e-02
2.4890e+01      4.5524e+02      -4.1513e-02
2.4900e+01      4.5515e+02      -4.1848e-02
2.4910e+01      4.5506e+02      -4.2254e-02
2.4920e+01      4.5498e+02      -4.2583e-02
2.4930e+01      4.5489e+02      -4.2988e-02
2.4940e+01      4.5480e+02      -4.3346e-02
2.4950e+01      4.5472e+02      -4.3766e-02
2.4960e+01      4.5463e+02      -4.4162e-02
2.4970e+01      4.5455e+02      -4.4659e-02
2.4980e+01      4.5446e+02      -4.5061e-02
2.4990e+01      4.5437e+02      -4.5457e-02
2.5000e+01      4.5429e+02      -4.5942e-02
2.5010e+01      4.5420e+02      -4.6353e-02
2.5020e+01      4.5412e+02      -4.6801e-02
2.5030e+01      4.5403e+02      -4.7342e-02
2.5040e+01      4.5395e+02      -4.7791e-02
2.5050e+01      4.5386e+02      -4.8308e-02
2.5060e+01      4.5378e+02      -4.8845e-02
2.5070e+01      4.5369e+02      -4.9331e-02
2.5080e+01      4.5361e+02      -4.9836e-02
2.5090e+01      4.5353e+02      -5.0416e-02
2.5100e+01      4.5344e+02      -5.1008e-02
2.5110e+01      4.5336e+02      -5.1539e-02
2.5120e+01      4.5327e+02      -5.2143e-02
2.5130e+01      4.5319e+02      -5.2698e-02
2.5140e+01      4.5311e+02      -5.3328e-02
2.5150e+01      4.5302e+02      -5.3919e-02
2.5160e+01      4.5294e+02      -5.4554e-02
2.5170e+01      4.5286e+02      -5.5200e-02
2.5180e+01      4.5277e+02      -5.5823e-02
2.5190e+01      4.5269e+02      -5.6499e-02
2.5200e+01      4.5261e+02      -5.7166e-02
2.5210e+01      4.5253e+02      -5.7846e-02
2.5220e+01      4.5245e+02      -5.8546e-02
2.5230e+01      4.5236e+02      -5.9190e-02
2.5240e+01      4.5228e+02      -5.9952e-02
2.5250e+01      4.5220e+02      -6.0611e-02
2.5260e+01      4.5212e+02      -6.1377e-02
2.5270e+01      4.5204e+02      -6.2139e-02
2.5280e+01      4.5196e+02      -6.2957e-02
2.5290e+01      4.5188e+02      -6.3694e-02
2.5300e+01      4.5179e+02      -6.4424e-02
2.5310e+01      4.5171e+02      -6.5218e-02
2.5320e+01      4.5163e+02      -6.5993e-02
2.5330e+01      4.5155e+02      -6.6843e-02
2.5340e+01      4.5147e+02      -6.7671e-02
2.5350e+01      4.5139e+02      -6.8443e-02
2.5360e+01      4.5131e+02      -6.9263e-02
2.5370e+01      4.5123e+02      -7.0113e-02
2.5380e+01      4.5115e+02      -7.0965e-02
2.5390e+01      4.5107e+02      -7.1762e-02
2.5400e+01      4.5099e+02      -7.2642e-02
2.5410e+01      4.5091e+02      -7.3525e-02
2.5420e+01      4.5083e+02      -7.4321e-02
2.5430e+01      4.5075e+02      -7.5223e-02
2.5440e+01      4.5068e+02      -7.6093e-02
2.5450e+01      4.5060e+02      -7.6990e-02
2.5460e+01      4.5052e+02      -7.7822e-02
2.5470e+01      4.5044e+02      -7.8691e-02
2.5480e+01      4.5036e+02      -7.9458e-02
2.5490e+01      4.5029e+02      -8.0392e-02
2.5500e+01      4.5021e+02      -8.1119e-02
2.5510e+01      4.5013e+02      -8.2054e-02
2.5520e+01      4.5005e+02      -8.2904e-02
2.5530e+01      4.4997e+02      -8.3689e-02
2.5540e+01      4.4990e+02      -8.4541e-02
2.5550e+01      4.4982e+02      -8.5288e-02
2.5560e+01      4.4974e+02      -8.6153e-02
2.5570e+01      4.4967e+02      -8.6848e-02
2.5580e+01      4.4959e+02      -8.7530e-02
2.5590e+01      4.4951e+02      -8.8299e-02
2.5600e+01      4.4944e+02      -8.8990e-02
2.5610e+01      4.4936e+02      -8.9627e-02
2.5620e+01      4.4929e+02      -9.0299e-02
2.5630e+01      4.4921e+02      -9.0888e-02
2.5640e+01      4.4913e+02      -9.1550e-02
2.5650e+01      4.4906e+02      -9.2025e-02
2.5660e+01      4.4898e+02      -9.2441e-02
2.5670e+01      4.4891e+02      -9.2919e-02
2.5680e+01      4.4883e+02      -9.3411e-02
2.5690e+01      4.4876e+02      -9.3756e-02
2.5700e+01      4.4869e+02      -9.4073e-02
2.5710e+01      4.4861e+02      -9.4385e-02
2.5720e+01      4.4854e+02      -9.4550e-02
2.5730e+01      4.4846e+02      -9.4685e-02
2.5740e+01      4.4839e+02      -9.4861e-02
2.5750e+01      4.4831e+02      -9.4856e-02
2.5760e+01      4.4824e+02      -9.4927e-02
2.5770e+01      4.4817e+02      -9.4861e-02
2.5780e+01      4.4809e+02      -9.4686e-02
2.5790e+01      4.4802e+02      -9.4530e-02
2.5800e+01      4.4795e+02      -9.4304e-02
2.5810e+01      4.4787e+02      -9.4031e-02
2.5820e+01      4.4780e+02      -9.3655e-02
2.5830e+01      4.4773e+02      -9.3286e-02
2.5840e+01      4.4765e+02      -9.2867e-02
2.5850e+01      4.4758e+02      -9.2331e-02
2.5860e+01      4.4751e+02      -9.1748e-02
2.5870e+01      4.4744e+02      -9.1181e-02
2.5880e+01      4.4737e+02      -9.0429e-02
2.5890e+01      4.4729e+02      -8.9703e-02
2.5900e+01      4.4722e+02      -8.8886e-02
2.5910e+01      4.4715e+02      -8.8134e-02
2.5920e+01      4.4708e+02      -8.7195e-02
2.5930e+01      4.4700e+02      -8.6306e-02
2.5940e+01      4.4693e+02      -8.5397e-02
2.5950e+01      4.4686e+02      -8.4302e-02
2.5960e+01      4.4679e+02      -8.3355e-02
2.5970e+01      4.4672e+02      -8.2161e-02
2.5980e+01      4.4665e+02      -8.1159e-02
2.5990e+01      4.4657e+02      -7.9957e-02
2.6000e+01      4.4650e+02      -7.8767e-02
2.6010e+01      4.4643e+02      -7.7630e-02
2.6020e+01      4.4636e+02      -7.6383e-02
2.6030e+01      4.4629e+02      -7.5112e-02
2.6040e+01      4.4622e+02      -7.3829e-02
2.6050e+01      4.4615e+02      -7.2621e-02
2.6060e+01      4.4608e+02      -7.1273e-02
2.6070e+01      4.4601e+02      -6.9995e-02
2.6080e+01      4.4594e+02      -6.8692e-02
2.6090e+01      4.4586e+02      -6.7306e-02
2.6100e+01      4.4579e+02      -6.6090e-02
2.6110e+01      4.4572e+02      -6.4765e-02
2.6120e+01      4.4565e+02      -6.3400e-02
2.6130e+01      4.4558e+02      -6.2093e-02
2.6140e+01      4.4551e+02      -6.0765e-02
2.6150e+01      4.4544e+02      -5.9495e-02
2.6160e+01      4.4537e+02      -5.8125e-02
2.6170e+01      4.4530e+02      -5.6831e-02
2.6180e+01      4.4523e+02      -5.5519e-02
2.6190e+01      4.4516e+02      -5.4161e-02
2.6200e+01      4.4509e+02      -5.2976e-02
2.6210e+01      4.4502e+02      -5.1642e-02
2.6220e+01      4.4495e+02      -5.0439e-02
2.6230e+01      4.4488e+02      -4.9182e-02
2.6240e+01      4.4481e+02      -4.7991e-02
2.6250e+01      4.4474e+02      -4.6748e-02
2.6260e+01      4.4467e+02      -4.5568e-02
2.6270e+01      4.4460e+02      -4.4365e-02
2.6280e+01      4.4453e+02      -4.3185e-02
2.6290e+01      4.4446e+02      -4.2057e-02
2.6300e+01      4.4440e+02      -4.0993e-02
2.6310e+01      4.4433e+02      -3.9841e-02
2.6320e+01      4.4426e+02      -3.8782e-02
2.6330e+01      4.4419e+02      -3.7700e-02
2.6340e+01      4.4412e+02      -3.6597e-02
2.6350e+01      4.4405e+02      -3.5592e-02
2.6360e+01      4.4398e+02      -3.4592e-02
2.6370e+01      4.4391e+02      -3.3548e-02
2.6380e+01      4.4385e+02      -3.2628e-02
2.6390e+01      4.4378e+02      -3.1658e-02
2.6400e+01      4.4371e+02      -3.0703e-02
2.6410e+01      4.4364e+02      -2.9802e-02
2.6420e+01      4.4357e+02      -2.8848e-02
2.6430e+01      4.4351e+02      -2.7956e-02
2.6440e+01      4.4344e+02      -2.7148e-02
2.6450e+01      4.4337e+02      -2.6239e-02
2.6460e+01      4.4330e+02      -2.5436e-02
2.6470e+01      4.4324e+02      -2.4650e-02
2.6480e+01      4.4317e+02      -2.3795e-02
2.6490e+01      4.4310e+02      -2.3010e-02
2.6500e+01      4.4303e+02      -2.2250e-02
2.6510e+01      4.4297e+02      -2.1528e-02
2.6520e+01      4.4290e+02      -2.0770e-02
2.6530e+01      4.4283e+02      -2.0060e-02
2.6540e+01      4.4277e+02      -1.9337e-02
2.6550e+01      4.4270e+02      -1.8623e-02
2.6560e+01      4.4263e+02      -1.7959e-02
2.6570e+01      4.4257e+02      -1.7289e-02
2.6580e+01      4.4250e+02      -1.6653e-02
2.6590e+01      4.4243e+02      -1.6044e-02
2.6600e+01      4.4237e+02      -1.5409e-02
2.6610e+01      4.4230e+02      -1.4757e-02
2.6620e+01      4.4224e+02      -1.4175e-02
2.6630e+01      4.4217e+02      -1.3599e-02
2.6640e+01      4.4211e+02      -1.3028e-02
2.6650e+01      4.4204e+02      -1.2448e-02
2.6660e+01      4.4197e+02      -1.1879e-02
2.6670e+01      4.4191e+02      -1.1333e-02
2.6680e+01      4.4184e+02      -1.0804e-02
2.6690e+01      4.4178e+02      -1.0287e-02
2.6700e+01      4.4171e+02      -9.7562e-03
2.6710e+01      4.4165e+02      -9.2728e-03
2.6720e+01      4.4158e+02      -8.7670e-03
