# RLC circuit analytic TF with f_res = 26.0 GHz, Q = 1000
#        Freq [GHz]     vRe []     vIm []
            23.4    2.2026498e-05    -0.0046931879
          23.413    2.2259277e-05    -0.0047179213
          23.426     2.249562e-05    -0.0047429014
          23.439    2.2735598e-05    -0.0047681318
          23.452    2.2979286e-05    -0.0047936164
          23.465    2.3226761e-05     -0.004819359
          23.478      2.34781e-05    -0.0048453636
          23.491    2.3733384e-05    -0.0048716343
          23.504    2.3992694e-05     -0.004898175
          23.517    2.4256116e-05    -0.0049249901
           23.53    2.4523736e-05    -0.0049520839
          23.543    2.4795642e-05    -0.0049794606
          23.556    2.5071927e-05    -0.0050071248
          23.569    2.5352683e-05     -0.005035081
          23.582    2.5638008e-05    -0.0050633339
          23.595    2.5927999e-05    -0.0050918883
          23.608    2.6222758e-05     -0.005120749
          23.621    2.6522389e-05     -0.005149921
          23.634       2.6827e-05    -0.0051794093
          23.647    2.7136701e-05    -0.0052092192
           23.66    2.7451605e-05     -0.005239356
          23.673    2.7771827e-05     -0.005269825
          23.686    2.8097487e-05    -0.0053006318
          23.699    2.8428709e-05    -0.0053317822
          23.712    2.8765619e-05    -0.0053632818
          23.725    2.9108346e-05    -0.0053951365
          23.738    2.9457024e-05    -0.0054273526
          23.751     2.981179e-05     -0.005459936
          23.764    3.0172787e-05    -0.0054928933
          23.777    3.0540159e-05    -0.0055262308
           23.79    3.0914057e-05    -0.0055599552
          23.803    3.1294635e-05    -0.0055940732
          23.816    3.1682051e-05    -0.0056285919
          23.829     3.207647e-05    -0.0056635184
          23.842    3.2478059e-05    -0.0056988599
          23.855    3.2886992e-05    -0.0057346239
          23.868    3.3303449e-05    -0.0057708179
          23.881    3.3727613e-05      -0.00580745
          23.894    3.4159674e-05     -0.005844528
          23.907    3.4599829e-05    -0.0058820602
           23.92    3.5048279e-05    -0.0059200549
          23.933    3.5505232e-05    -0.0059585209
          23.946    3.5970903e-05    -0.0059974669
          23.959    3.6445514e-05     -0.006036902
          23.972    3.6929293e-05    -0.0060768354
          23.985    3.7422476e-05    -0.0061172768
          23.998    3.7925308e-05    -0.0061582359
          24.011    3.8438039e-05    -0.0061997227
          24.024     3.896093e-05    -0.0062417475
          24.037    3.9494248e-05    -0.0062843208
           24.05    4.0038271e-05    -0.0063274535
          24.063    4.0593286e-05    -0.0063711567
          24.076    4.1159587e-05    -0.0064154418
          24.089    4.1737483e-05    -0.0064603205
          24.102    4.2327288e-05    -0.0065058048
          24.115    4.2929331e-05    -0.0065519072
          24.128     4.354395e-05    -0.0065986403
          24.141    4.4171495e-05    -0.0066460171
          24.154    4.4812329e-05    -0.0066940512
          24.167    4.5466828e-05    -0.0067427562
           24.18     4.613538e-05    -0.0067921463
          24.193    4.6818389e-05    -0.0068422362
          24.206     4.751627e-05    -0.0068930409
          24.219    4.8229457e-05    -0.0069445757
          24.232    4.8958398e-05    -0.0069968565
          24.245    4.9703556e-05    -0.0070498997
          24.258    5.0465414e-05    -0.0071037221
          24.271    5.1244472e-05     -0.007158341
          24.284    5.2041248e-05    -0.0072137743
          24.297     5.285628e-05    -0.0072700403
           24.31    5.3690126e-05     -0.007327158
          24.323    5.4543368e-05    -0.0073851468
          24.336    5.5416607e-05    -0.0074440269
          24.349     5.631047e-05     -0.007503819
          24.362    5.7225608e-05    -0.0075645445
          24.375    5.8162696e-05    -0.0076262254
          24.388     5.912244e-05    -0.0076888845
          24.401    6.0105571e-05    -0.0077525453
          24.414     6.111285e-05    -0.0078172319
          24.427    6.2145071e-05    -0.0078829696
           24.44     6.320306e-05     -0.007949784
          24.453    6.4287676e-05    -0.0080177019
          24.466    6.5399816e-05    -0.0080867508
          24.479    6.6540414e-05    -0.0081569594
          24.492    6.7710444e-05     -0.008228357
          24.505    6.8910922e-05    -0.0083009742
          24.518    7.0142909e-05    -0.0083748426
          24.531     7.140751e-05    -0.0084499947
          24.544    7.2705881e-05    -0.0085264644
          24.557     7.403923e-05    -0.0086042866
           24.57    7.5408817e-05    -0.0086834976
          24.583    7.6815962e-05    -0.0087641349
          24.596    7.8262042e-05    -0.0088462375
          24.609    7.9748502e-05    -0.0089298456
          24.622     8.127685e-05    -0.0090150011
          24.635    8.2848669e-05    -0.0091017474
          24.648    8.4465613e-05    -0.0091901294
          24.661     8.612942e-05    -0.0092801941
          24.674    8.7841909e-05    -0.0093719898
          24.687    8.9604989e-05    -0.0094655671
            24.7    9.1420663e-05    -0.0095609783
          24.713    9.3291034e-05    -0.0096582778
          24.726    9.5218312e-05    -0.0097575225
          24.739    9.7204818e-05    -0.0098587712
          24.752    9.9252994e-05    -0.0099620853
          24.765    0.00010136541     -0.010067529
          24.778    0.00010354476     -0.010175168
          24.791     0.0001057939     -0.010285072
          24.804    0.00010811582     -0.010397314
          24.817    0.00011051369     -0.010511968
           24.83    0.00011299084     -0.010629115
          24.843     0.0001155508     -0.010748835
          24.856    0.00011819726     -0.010871214
