# RLC circuit analytic TF with f_res = 1.0 GHz, Q = 1000
#        Freq [GHz]     vRe []     vIm []
             0.9    2.2026498e-05    -0.0046931879
          0.9005    2.2259277e-05    -0.0047179213
           0.901     2.249562e-05    -0.0047429014
          0.9015    2.2735598e-05    -0.0047681318
           0.902    2.2979286e-05    -0.0047936164
          0.9025    2.3226761e-05     -0.004819359
           0.903      2.34781e-05    -0.0048453636
          0.9035    2.3733384e-05    -0.0048716343
           0.904    2.3992694e-05     -0.004898175
          0.9045    2.4256116e-05    -0.0049249901
           0.905    2.4523736e-05    -0.0049520839
          0.9055    2.4795642e-05    -0.0049794606
           0.906    2.5071927e-05    -0.0050071248
          0.9065    2.5352683e-05     -0.005035081
           0.907    2.5638008e-05    -0.0050633339
          0.9075    2.5927999e-05    -0.0050918883
           0.908    2.6222758e-05     -0.005120749
          0.9085    2.6522389e-05     -0.005149921
           0.909       2.6827e-05    -0.0051794093
          0.9095    2.7136701e-05    -0.0052092192
            0.91    2.7451605e-05     -0.005239356
          0.9105    2.7771827e-05     -0.005269825
           0.911    2.8097487e-05    -0.0053006318
          0.9115    2.8428709e-05    -0.0053317822
           0.912    2.8765619e-05    -0.0053632818
          0.9125    2.9108346e-05    -0.0053951365
           0.913    2.9457024e-05    -0.0054273526
          0.9135     2.981179e-05     -0.005459936
           0.914    3.0172787e-05    -0.0054928933
          0.9145    3.0540159e-05    -0.0055262308
           0.915    3.0914057e-05    -0.0055599552
          0.9155    3.1294635e-05    -0.0055940732
           0.916    3.1682051e-05    -0.0056285919
          0.9165     3.207647e-05    -0.0056635184
           0.917    3.2478059e-05    -0.0056988599
          0.9175    3.2886992e-05    -0.0057346239
           0.918    3.3303449e-05    -0.0057708179
          0.9185    3.3727613e-05      -0.00580745
           0.919    3.4159674e-05     -0.005844528
          0.9195    3.4599829e-05    -0.0058820602
            0.92    3.5048279e-05    -0.0059200549
          0.9205    3.5505232e-05    -0.0059585209
           0.921    3.5970903e-05    -0.0059974669
          0.9215    3.6445514e-05     -0.006036902
           0.922    3.6929293e-05    -0.0060768354
          0.9225    3.7422476e-05    -0.0061172768
           0.923    3.7925308e-05    -0.0061582359
          0.9235    3.8438039e-05    -0.0061997227
           0.924     3.896093e-05    -0.0062417475
          0.9245    3.9494248e-05    -0.0062843208
           0.925    4.0038271e-05    -0.0063274535
          0.9255    4.0593286e-05    -0.0063711567
           0.926    4.1159587e-05    -0.0064154418
          0.9265    4.1737483e-05    -0.0064603205
           0.927    4.2327288e-05    -0.0065058048
          0.9275    4.2929331e-05    -0.0065519072
           0.928     4.354395e-05    -0.0065986403
          0.9285    4.4171495e-05    -0.0066460171
           0.929    4.4812329e-05    -0.0066940512
          0.9295    4.5466828e-05    -0.0067427562
            0.93     4.613538e-05    -0.0067921463
          0.9305    4.6818389e-05    -0.0068422362
           0.931     4.751627e-05    -0.0068930409
          0.9315    4.8229457e-05    -0.0069445757
           0.932    4.8958398e-05    -0.0069968565
          0.9325    4.9703556e-05    -0.0070498997
           0.933    5.0465414e-05    -0.0071037221
          0.9335    5.1244472e-05     -0.007158341
           0.934    5.2041248e-05    -0.0072137743
          0.9345     5.285628e-05    -0.0072700403
           0.935    5.3690126e-05     -0.007327158
          0.9355    5.4543368e-05    -0.0073851468
           0.936    5.5416607e-05    -0.0074440269
          0.9365     5.631047e-05     -0.007503819
           0.937    5.7225608e-05    -0.0075645445
          0.9375    5.8162696e-05    -0.0076262254
           0.938     5.912244e-05    -0.0076888845
          0.9385    6.0105571e-05    -0.0077525453
           0.939     6.111285e-05    -0.0078172319
          0.9395    6.2145071e-05    -0.0078829696
            0.94     6.320306e-05     -0.007949784
          0.9405    6.4287676e-05    -0.0080177019
           0.941    6.5399816e-05    -0.0080867508
          0.9415    6.6540414e-05    -0.0081569594
           0.942    6.7710444e-05     -0.008228357
          0.9425    6.8910922e-05    -0.0083009742
           0.943    7.0142909e-05    -0.0083748426
          0.9435     7.140751e-05    -0.0084499947
           0.944    7.2705881e-05    -0.0085264644
          0.9445     7.403923e-05    -0.0086042866
           0.945    7.5408817e-05    -0.0086834976
          0.9455    7.6815962e-05    -0.0087641349
           0.946    7.8262042e-05    -0.0088462375
          0.9465    7.9748502e-05    -0.0089298456
           0.947     8.127685e-05    -0.0090150011
          0.9475    8.2848669e-05    -0.0091017474
           0.948    8.4465613e-05    -0.0091901294
          0.9485     8.612942e-05    -0.0092801941
           0.949    8.7841909e-05    -0.0093719898
          0.9495    8.9604989e-05    -0.0094655671
            0.95    9.1420663e-05    -0.0095609783
          0.9505    9.3291034e-05    -0.0096582778
           0.951    9.5218312e-05    -0.0097575225
          0.9515    9.7204818e-05    -0.0098587712
           0.952    9.9252994e-05    -0.0099620853
          0.9525    0.00010136541     -0.010067529
           0.953    0.00010354476     -0.010175168
          0.9535     0.0001057939     -0.010285072
           0.954    0.00010811582     -0.010397314
          0.9545    0.00011051369     -0.010511968
           0.955    0.00011299084     -0.010629115
          0.9555     0.0001155508     -0.010748835
           0.956    0.00011819726     -0.010871214
          0.9565    0.00012093417     -0.010996342
           0.957    0.00012376568     -0.011124314
          0.9575    0.00012669617     -0.011255226
           0.958     0.0001297303     -0.011389182
          0.9585      0.000132873     -0.011526289
           0.959    0.00013612948      -0.01166666
          0.9595    0.00013950528     -0.011810411
            0.96    0.00014300628     -0.011957668
          0.9605    0.00014663874      -0.01210856
           0.961    0.00015040928     -0.012263224
          0.9615    0.00015432498     -0.012421802
           0.962    0.00015839334     -0.012584445
          0.9625    0.00016262239     -0.012751311
           0.963    0.00016702066     -0.012922568
          0.9635    0.00017159728     -0.013098391
           0.964    0.00017636199     -0.013278964
          0.9645     0.0001813252     -0.013464484
           0.965    0.00018649806     -0.013655156
          0.9655    0.00019189249     -0.013851197
           0.966    0.00019752131     -0.014052839
          0.9665    0.00020339823     -0.014260325
           0.967    0.00020953802     -0.014473911
          0.9675    0.00021595653     -0.014693873
           0.968    0.00022267084     -0.014920498
          0.9685    0.00022969936     -0.015154095
